Source,Target,Weight,Label
gas,climate,6,REFUTES
dioxide,fossil,5,REFUTES
dioxide,greenhouse,5,REFUTES
dioxide,concentrations,6,REFUTES
dioxide,atmosphere,8,REFUTES
dioxide,warming,8,REFUTES
dioxide,global,6,REFUTES
dioxide,emissions,5,REFUTES
increase,°C,5,REFUTES
increase,warming,7,REFUTES
increase,human,5,REFUTES
increase,since,6,REFUTES
increase,fossil,5,REFUTES
increase,changes,7,REFUTES
human,fossil,6,REFUTES
human,due,18,REFUTES
human,gases,19,REFUTES
human,carbon,5,REFUTES
human,greenhouse,23,REFUTES
human,concentrations,12,REFUTES
human,observed,10,REFUTES
human,warming,24,REFUTES
human,last,5,REFUTES
due,gases,6,REFUTES
due,greenhouse,18,REFUTES
due,change,7,REFUTES
due,climate,14,REFUTES
due,warming,14,REFUTES
due,atmosphere,6,REFUTES
due,rising,5,REFUTES
due,since,5,REFUTES
due,CO,6,REFUTES
due,2,6,REFUTES
due,°C,5,REFUTES
level,climate,6,REFUTES
level,warming,5,REFUTES
fossil,global,11,REFUTES
fossil,increased,6,REFUTES
fossil,emissions,9,REFUTES
fossil,gases,5,REFUTES
fossil,carbon,7,REFUTES
fossil,greenhouse,6,REFUTES
fossil,warming,5,REFUTES
"atmosphere ,",increased,8,REFUTES
sea,climate,7,REFUTES
sea,changes,8,REFUTES
sea,warming,12,REFUTES
sea,since,8,REFUTES
sea,temperature,9,REFUTES
sea,change,5,REFUTES
change,climate,37,REFUTES
change,global,18,REFUTES
change,warming,13,REFUTES
change,scientific,5,REFUTES
change,rising,6,REFUTES
surface,atmosphere,7,REFUTES
atmospheric,gases,12,REFUTES
atmospheric,average,9,REFUTES
atmospheric,since,10,REFUTES
atmospheric,rise,10,REFUTES
atmospheric,"methane ,",8,REFUTES
atmospheric,temperature,9,REFUTES
atmospheric,causing,9,REFUTES
atmospheric,global,11,REFUTES
atmospheric,greenhouse,16,REFUTES
atmospheric,nitrous,8,REFUTES
atmospheric,caused,5,REFUTES
CO,emissions,13,REFUTES
CO,average,7,REFUTES
CO,since,10,REFUTES
CO,rise,14,REFUTES
CO,"methane ,",7,REFUTES
CO,causing,6,REFUTES
CO,concentrations,9,REFUTES
CO,nitrous,7,REFUTES
CO,°C,8,REFUTES
ice,per,6,REFUTES
ice,since,10,REFUTES
ice,warming,6,REFUTES
ice,rising,5,REFUTES
ice,average,5,REFUTES
gases,carbon,13,REFUTES
gases,concentrations,26,REFUTES
gases,"methane ,",17,REFUTES
gases,temperature,7,REFUTES
gases,causing,8,REFUTES
gases,nitrous,15,REFUTES
caused,global,26,REFUTES
caused,greenhouse,28,REFUTES
caused,concentrations,5,REFUTES
caused,since,5,REFUTES
carbon,greenhouse,16,REFUTES
carbon,concentrations,9,REFUTES
carbon,atmosphere,10,REFUTES
carbon,warming,13,REFUTES
carbon,global,7,REFUTES
carbon,"methane ,",6,REFUTES
"methane ,",temperature,6,REFUTES
"methane ,",causing,8,REFUTES
"methane ,",global,7,REFUTES
"methane ,",greenhouse,16,REFUTES
"methane ,",concentrations,8,REFUTES
"methane ,",nitrous,15,REFUTES
"methane ,",2,7,REFUTES
"methane ,",increased,6,REFUTES
since,increasing,5,REFUTES
since,global,20,REFUTES
since,warming,15,REFUTES
since,rise,9,REFUTES
since,"methane ,",11,REFUTES
since,causing,7,REFUTES
since,nitrous,11,REFUTES
since,2,10,REFUTES
since,observed,6,REFUTES
since,rising,7,REFUTES
average,rise,9,REFUTES
average,"methane ,",6,REFUTES
average,causing,6,REFUTES
average,concentrations,9,REFUTES
average,nitrous,6,REFUTES
average,2,7,REFUTES
scientific,temperatures,29,REFUTES
scientific,atmosphere,6,REFUTES
scientific,climate,18,REFUTES
scientific,warming,15,REFUTES
rise,"methane ,",8,REFUTES
rise,temperature,20,REFUTES
rise,causing,9,REFUTES
rise,nitrous,8,REFUTES
rise,2,14,REFUTES
rise,°C,11,REFUTES
temperature,causing,6,REFUTES
temperature,concentrations,8,REFUTES
temperature,nitrous,7,REFUTES
temperature,2,13,REFUTES
temperature,observed,5,REFUTES
temperature,increases,6,REFUTES
melting,warming,5,REFUTES
melting,rising,6,REFUTES
changes,temperatures,10,REFUTES
changes,warming,8,REFUTES
causing,global,10,REFUTES
causing,greenhouse,12,REFUTES
causing,concentrations,8,REFUTES
causing,nitrous,8,REFUTES
causing,2,6,REFUTES
increasing,evidence,5,REFUTES
global,greenhouse,57,REFUTES
global,increased,41,REFUTES
global,emissions,43,REFUTES
global,last,9,REFUTES
global,warming,53,REFUTES
global,observed,10,REFUTES
global,cause,14,REFUTES
global,temperatures,40,REFUTES
global,heat,5,REFUTES
global,nitrous,7,REFUTES
greenhouse,concentrations,28,REFUTES
greenhouse,nitrous,15,REFUTES
rising,climate,6,REFUTES
climate,temperatures,15,REFUTES
climate,change,5,REFUTES
climate,warming,26,REFUTES
climate,observed,9,REFUTES
climate,2,7,REFUTES
concentrations,evidence,5,REFUTES
concentrations,nitrous,8,REFUTES
concentrations,2,10,REFUTES
nitrous,2,7,REFUTES
heat,warming,7,REFUTES
temperatures,atmosphere,8,REFUTES
temperatures,°C,8,REFUTES
temperatures,warming,7,REFUTES
atmosphere,per,5,REFUTES
2,emissions,8,REFUTES
2,°C,9,REFUTES
increased,emissions,8,REFUTES
last,warming,16,REFUTES
last,°C,6,REFUTES
warming,observed,17,REFUTES
warming,cause,7,REFUTES
warming,global,9,REFUTES
per,emissions,5,REFUTES
observed,cause,7,REFUTES
