Source,Target,Weight,Label
gas,climate,6,REFUTES
gas,dioxide,8,SUPPORTS
gas,"atmosphere ,",12,SUPPORTS
gas,human,14,SUPPORTS
gas,increasing,7,SUPPORTS
gas,increased,5,SUPPORTS
gas,global,24,SUPPORTS
gas,Earth 's,10,SUPPORTS
gas,concentrations,10,SUPPORTS
gas,emissions,25,SUPPORTS
gas,carbon,14,SUPPORTS
climate,temperatures,15,REFUTES
climate,change,5,REFUTES
climate,warming,26,REFUTES
climate,observed,9,REFUTES
climate,2,7,REFUTES
climate,increased,5,SUPPORTS
climate,land,9,SUPPORTS
climate,cause,16,SUPPORTS
climate,emissions,15,SUPPORTS
climate,last,7,SUPPORTS
dioxide,fossil,5,REFUTES
dioxide,greenhouse,5,REFUTES
dioxide,concentrations,6,REFUTES
dioxide,atmosphere,8,REFUTES
dioxide,warming,8,REFUTES
dioxide,global,6,REFUTES
dioxide,emissions,5,REFUTES
dioxide,increased,8,SUPPORTS
dioxide,"methane ,",5,SUPPORTS
dioxide,surface,7,SUPPORTS
dioxide,cause,10,SUPPORTS
dioxide,carbon,103,SUPPORTS
"atmosphere ,",increased,8,REFUTES
"atmosphere ,",nitrous,5,SUPPORTS
"atmosphere ,",concentrations,7,SUPPORTS
"atmosphere ,",greenhouse,18,SUPPORTS
"atmosphere ,",warming,12,SUPPORTS
human,fossil,6,REFUTES
human,due,18,REFUTES
human,gases,19,REFUTES
human,carbon,5,REFUTES
human,greenhouse,23,REFUTES
human,concentrations,12,REFUTES
human,observed,10,REFUTES
human,warming,24,REFUTES
human,last,5,REFUTES
human,emissions,8,SUPPORTS
human,scientific,32,SUPPORTS
human,changes,22,SUPPORTS
human,rise,9,SUPPORTS
human,caused,22,SUPPORTS
human,increases,6,SUPPORTS
human,2,7,SUPPORTS
human,cause,22,SUPPORTS
increasing,evidence,5,REFUTES
increasing,cause,8,SUPPORTS
increasing,temperatures,5,SUPPORTS
increased,emissions,8,REFUTES
global,greenhouse,57,REFUTES
global,increased,41,REFUTES
global,emissions,43,REFUTES
global,last,9,REFUTES
global,warming,53,REFUTES
global,observed,10,REFUTES
global,cause,14,REFUTES
global,temperatures,40,REFUTES
global,heat,5,REFUTES
global,nitrous,7,REFUTES
global,climate,85,SUPPORTS
global,concentrations,13,SUPPORTS
global,2,26,SUPPORTS
global,°C,30,SUPPORTS
Earth 's,increased,6,SUPPORTS
Earth 's,atmosphere,19,SUPPORTS
concentrations,evidence,5,REFUTES
concentrations,nitrous,8,REFUTES
concentrations,2,10,REFUTES
concentrations,warming,9,SUPPORTS
emissions,cause,6,SUPPORTS
emissions,greenhouse,18,SUPPORTS
emissions,2,5,SUPPORTS
carbon,greenhouse,16,REFUTES
carbon,concentrations,9,REFUTES
carbon,atmosphere,10,REFUTES
carbon,warming,13,REFUTES
carbon,global,7,REFUTES
carbon,"methane ,",6,REFUTES
carbon,last,7,SUPPORTS
carbon,per,12,SUPPORTS
carbon,temperature,8,SUPPORTS
carbon,Earth 's,17,SUPPORTS
carbon,temperatures,5,SUPPORTS
carbon,increased,13,SUPPORTS
temperatures,atmosphere,8,REFUTES
temperatures,°C,8,REFUTES
temperatures,warming,7,REFUTES
temperatures,increased,25,SUPPORTS
change,climate,37,REFUTES
change,global,18,REFUTES
change,warming,13,REFUTES
change,scientific,5,REFUTES
change,rising,6,REFUTES
change,causing,6,SUPPORTS
change,temperature,13,SUPPORTS
warming,observed,17,REFUTES
warming,cause,7,REFUTES
warming,global,9,REFUTES
warming,emissions,18,SUPPORTS
observed,cause,7,REFUTES
observed,last,7,SUPPORTS
observed,gases,7,SUPPORTS
2,emissions,8,REFUTES
2,°C,9,REFUTES
2,warming,11,SUPPORTS
2,per,11,SUPPORTS
land,warming,10,SUPPORTS
land,last,6,SUPPORTS
