Source,Target,Weight,Label
gas,human,14,SUPPORTS
gas,due,11,SUPPORTS
gas,temperature,11,SUPPORTS
gas,global,24,SUPPORTS
gas,greenhouse,74,SUPPORTS
gas,increased,5,SUPPORTS
gas,emissions,25,SUPPORTS
gas,concentrations,10,SUPPORTS
gas,temperatures,7,SUPPORTS
gas,dioxide,8,SUPPORTS
gas,carbon,14,SUPPORTS
gas,warming,22,SUPPORTS
gas,ice,5,SUPPORTS
gas,fossil,8,SUPPORTS
gas,surface,5,SUPPORTS
gas,"atmosphere ,",12,SUPPORTS
gas,Earth 's,10,SUPPORTS
gas,increasing,7,SUPPORTS
dioxide,carbon,103,SUPPORTS
dioxide,increased,8,SUPPORTS
dioxide,atmospheric,7,SUPPORTS
dioxide,per,12,SUPPORTS
dioxide,surface,7,SUPPORTS
dioxide,increases,6,SUPPORTS
dioxide,cause,10,SUPPORTS
dioxide,"methane ,",5,SUPPORTS
dioxide,Earth 's,13,SUPPORTS
dioxide,temperature,6,SUPPORTS
increase,CO,10,SUPPORTS
increase,global,21,SUPPORTS
increase,greenhouse,9,SUPPORTS
increase,2,15,SUPPORTS
increase,temperature,24,SUPPORTS
increase,climate,9,SUPPORTS
increase,increased,11,SUPPORTS
increase,surface,10,SUPPORTS
increase,increases,8,SUPPORTS
increase,atmospheric,12,SUPPORTS
increase,ice,11,SUPPORTS
increase,carbon,10,SUPPORTS
increase,rise,8,SUPPORTS
increase,evidence,5,SUPPORTS
increase,last,7,SUPPORTS
increase,emissions,7,SUPPORTS
increase,melting,5,SUPPORTS
human,caused,22,SUPPORTS
human,changes,22,SUPPORTS
human,climate,35,SUPPORTS
human,change,17,SUPPORTS
human,since,15,SUPPORTS
human,increasing,10,SUPPORTS
human,evidence,21,SUPPORTS
human,increased,9,SUPPORTS
human,global,30,SUPPORTS
human,temperature,8,SUPPORTS
human,emissions,8,SUPPORTS
human,scientific,32,SUPPORTS
human,rise,9,SUPPORTS
human,atmosphere,18,SUPPORTS
human,cause,22,SUPPORTS
human,increases,6,SUPPORTS
human,land,7,SUPPORTS
human,CO,8,SUPPORTS
human,2,7,SUPPORTS
human,"atmosphere ,",7,SUPPORTS
due,temperature,8,SUPPORTS
due,global,31,SUPPORTS
due,evidence,6,SUPPORTS
due,increased,10,SUPPORTS
due,emissions,14,SUPPORTS
due,ice,15,SUPPORTS
due,melting,8,SUPPORTS
due,caused,6,SUPPORTS
due,rise,9,SUPPORTS
due,changes,6,SUPPORTS
level,sea,93,SUPPORTS
level,ice,27,SUPPORTS
level,melting,17,SUPPORTS
level,global,33,SUPPORTS
level,per,9,SUPPORTS
level,average,9,SUPPORTS
level,emissions,10,SUPPORTS
level,rise,42,SUPPORTS
level,increases,5,SUPPORTS
level,heat,5,SUPPORTS
level,increased,6,SUPPORTS
fossil,concentrations,9,SUPPORTS
fossil,changes,7,SUPPORTS
fossil,land,8,SUPPORTS
fossil,CO,5,SUPPORTS
fossil,climate,7,SUPPORTS
fossil,2,5,SUPPORTS
fossil,cause,5,SUPPORTS
fossil,increasing,8,SUPPORTS
decades,surface,20,SUPPORTS
decades,caused,18,SUPPORTS
decades,scientific,19,SUPPORTS
decades,global,22,SUPPORTS
decades,emissions,18,SUPPORTS
decades,greenhouse,20,SUPPORTS
decades,temperatures,18,SUPPORTS
decades,increased,18,SUPPORTS
decades,climate,10,SUPPORTS
decades,warming,10,SUPPORTS
decades,observed,8,SUPPORTS
decades,since,9,SUPPORTS
decades,changes,11,SUPPORTS
decades,sea,8,SUPPORTS
decades,atmospheric,5,SUPPORTS
"atmosphere ,",greenhouse,18,SUPPORTS
"atmosphere ,",nitrous,5,SUPPORTS
"atmosphere ,",warming,12,SUPPORTS
"atmosphere ,",increasing,7,SUPPORTS
"atmosphere ,",concentrations,7,SUPPORTS
sea,ice,78,SUPPORTS
sea,melting,33,SUPPORTS
sea,last,6,SUPPORTS
sea,global,55,SUPPORTS
sea,per,10,SUPPORTS
sea,increases,18,SUPPORTS
sea,average,13,SUPPORTS
sea,rising,24,SUPPORTS
sea,emissions,10,SUPPORTS
sea,rise,55,SUPPORTS
sea,heat,11,SUPPORTS
sea,atmospheric,7,SUPPORTS
sea,increased,9,SUPPORTS
sea,cause,6,SUPPORTS
change,gases,8,SUPPORTS
change,since,7,SUPPORTS
change,greenhouse,17,SUPPORTS
change,temperature,13,SUPPORTS
change,causing,6,SUPPORTS
change,land,8,SUPPORTS
change,atmosphere,5,SUPPORTS
change,ice,10,SUPPORTS
surface,gases,10,SUPPORTS
surface,average,16,SUPPORTS
surface,increases,10,SUPPORTS
surface,global,51,SUPPORTS
surface,greenhouse,36,SUPPORTS
surface,°C,19,SUPPORTS
surface,warming,24,SUPPORTS
surface,observed,6,SUPPORTS
surface,caused,24,SUPPORTS
surface,scientific,18,SUPPORTS
surface,emissions,23,SUPPORTS
surface,temperatures,28,SUPPORTS
surface,increased,24,SUPPORTS
surface,temperature,37,SUPPORTS
surface,carbon,7,SUPPORTS
surface,cause,6,SUPPORTS
surface,Earth 's,16,SUPPORTS
surface,rise,6,SUPPORTS
surface,climate,9,SUPPORTS
